S10001,ORD5001,2025-03-04,C2043,P1030,5,4994.96,0,0.00,24974.80,Site Visit / Contractor Order,Cheque,Completed
S10002,ORD5001,2025-03-04,C2043,P1036,2,4892.01,0,0.00,9784.02,Site Visit / Contractor Order,Cash,Completed
S10003,ORD5001,2025-03-04,C2043,P1050,38,315.82,0,0.00,12001.16,Site Visit / Contractor Order,Cheque,Completed
S10004,ORD5001,2025-03-04,C2043,P1023,2,274.90,5,27.49,522.31,Site Visit / Contractor Order,Cheque,Completed
S10005,ORD5002,2026-01-26,C2036,P1010,22,43.54,0,0.00,957.88,Site Visit / Contractor Order,Bank Transfer,Completed
S10006,ORD5003,2026-09-01,C2019,P1051,2,188.54,0,0.00,377.08,Website,Cash,Completed
S10007,ORD5004,2024-12-17,C2110,P1020,4,257.12,5,51.42,977.06,Site Visit / Contractor Order,Debit Card,Completed
S10008,ORD5004,2024-12-17,C2110,P1021,2,479.49,5,47.95,911.03,Site Visit / Contractor Order,Debit Card,Completed
S10009,ORD5005,2026-07-04,C2073,P1026,3,7306.62,0,0.00,21919.86,Showroom,Cash,Cancelled
S10010,ORD5005,2026-07-04,C2073,P1045,4,2349.19,10,939.68,8457.08,Showroom,Cash,Cancelled
S10011,ORD5005,2026-07-04,C2073,P1004,29,157.89,0,0.00,4578.81,Showroom,Cash,Cancelled
S10012,ORD5005,2026-07-04,C2073,P1032,4,8120.08,0,0.00,32480.32,Showroom,Cash,Cancelled
S10013,ORD5006,2024-04-05,C2118,P1015,5,1318.46,5,329.62,6262.68,Phone Order,Cheque,Returned
S10014,ORD5006,2024-04-05,C2118,P1042,3,16071.09,0,0.00,48213.27,Phone Order,Cheque,Returned
S10015,ORD5006,2024-04-05,C2118,P1054,11,177.02,15,292.08,1655.14,Phone Order,Cheque,Returned
S10016,ORD5006,2024-04-05,C2118,P1026,3,7306.62,15,3287.98,18631.88,Phone Order,Cheque,Returned
S10017,ORD5007,2024-11-09,C2032,P1009,12,43.74,0,0.00,524.88,Phone Order,Cash,Completed
S10018,ORD5008,2024-02-07,C2033,P1015,4,1318.46,5,263.69,5010.15,Phone Order,Debit Card,Completed
S10019,ORD5008,2024-02-07,C2033,P1008,16,43.90,0,0.00,702.40,Phone Order,Debit Card,Completed
S10020,ORD5008,2024-02-07,C2033,P1063,29,112.97,0,0.00,3276.13,Phone Order,Debit Card,Completed
S10021,ORD5008,2024-02-07,C2033,P1042,4,16071.09,0,0.00,64284.36,Phone Order,Debit Card,Completed
S10022,ORD5008,2024-02-07,C2033,P1061,4,35.53,10,14.21,127.91,Phone Order,Debit Card,Completed
S10023,ORD5009,2025-03-05,C2025,P1037,3,11451.05,0,0.00,34353.15,Phone Order,UPI,Completed
S10024,ORD5010,2026-01-15,C2075,P1010,34,43.54,0,0.00,1480.36,Site Visit / Contractor Order,Cash,Completed
S10025,ORD5010,2026-01-15,C2075,P1007,14,50.91,15,106.91,605.83,Site Visit / Contractor Order,Cash,Completed
S10026,ORD5011,2025-01-12,C2080,P1055,18,55.79,0,0.00,1004.22,Site Visit / Contractor Order,Debit Card,Cancelled
S10027,ORD5011,2025-01-12,C2080,P1006,1,147.09,0,0.00,147.09,Site Visit / Contractor Order,Debit Card,Cancelled
S10028,ORD5011,2025-01-12,C2080,P1013,6,431.88,0,0.00,2591.28,Site Visit / Contractor Order,Debit Card,Cancelled
S10029,ORD5011,2025-01-12,C2080,P1056,21,107.71,5,113.10,2148.81,Site Visit / Contractor Order,Debit Card,Cancelled
S10030,ORD5012,2025-03-07,C2022,P1006,7,147.09,0,0.00,1029.63,Website,Cheque,Completed
S10031,ORD5012,2025-03-07,C2022,P1035,1,9670.80,0,0.00,9670.80,Website,Cheque,Completed
S10032,ORD5013,2026-06-07,C2006,P1055,21,55.79,0,0.00,1171.59,Showroom,Cheque,Completed
S10033,ORD5013,2026-06-07,C2006,P1013,2,431.88,0,0.00,863.76,Showroom,Cheque,Completed
S10034,ORD5014,2025-01-21,C2085,P1011,4,60.67,0,0.00,242.68,Phone Order,Cheque,Returned
S10035,ORD5014,2025-01-21,C2085,P1021,1,479.49,0,0.00,479.49,Phone Order,Cheque,Returned
S10036,ORD5014,2025-01-21,C2085,P1058,12,123.88,5,74.33,1412.23,Phone Order,Cheque,Returned
S10037,ORD5014,2025-01-21,C2085,P1046,6,3804.20,15,3423.78,19401.42,Phone Order,Cheque,Returned
S10038,ORD5014,2025-01-21,C2085,P1061,16,35.53,0,0.00,568.48,Phone Order,Cheque,Returned
S10039,ORD5015,2026-07-11,C2095,P1042,5,16071.09,0,0.00,80355.45,Website,Credit (30 days),Cancelled
S10040,ORD5015,2026-07-11,C2095,P1016,6,1091.69,15,982.52,5567.62,Website,Credit (30 days),Cancelled
S10041,ORD5015,2026-07-11,C2095,P1025,3,613.26,10,183.98,1655.80,Website,Credit (30 days),Cancelled
S10042,ORD5015,2026-07-11,C2095,P1060,34,129.76,5,220.59,4191.25,Website,Credit (30 days),Cancelled
